group_name,int_id,id,length,parent_name,route_name,route_parent_id,opposite_route_int_id
7,332,6fbcf6e7-84ec-49cb-97f3-493be60c89f5,10480.424300616667,PRŽAN - NOVE JARŠE,NOVE JARŠE;  osnovna,a6b87870-0413-41b0-b14c-b60695116a31,333
7,333,d5d18066-ddcf-4eba-b415-34edf9331491,10795.267116559708,NOVE JARŠE - PRŽAN,PRŽAN;  osnovna,de2dc675-8b5c-4683-a938-f51d922da9e6,332
22,341,de787abe-5a68-449a-babe-a99bca3ac55b,11966.944076636655,KAMNA GORICA - FUŽINE P+R,FUŽINE P+R;  osnovna,1960a8ae-5f4d-4f68-aeb1-9f065f5f7f57,342
22,342,cc6c0e71-79c0-4b7b-93b5-30045140af17,12000.066948101301,FUŽINE P+R - KAMNA GORICA,KAMNA GORICA;  osnovna,d639e05c-ca41-4aef-b0a2-ec22e31b0412,341
6,345,17cb13c3-2028-47f8-ae70-918d4de54378,11222.846693552665,DOLGI MOST P+R - ČRNUČE,ČRNUČE;  osnovna,f10ccfa3-0b2f-4b9f-8c55-5ff97c248d6f,1564
5,346,d532a61e-620c-4eb1-9a76-2a9e989213f5,11942.083902010627,PODUTIK - ŠTEPANJSKO NAS.,ŠTEPANJSKO NAS.;  osnovna,e1b9c46e-798c-4e48-b81e-6f12d7272746,652
12,363,2d2b5bea-6d11-428f-ab1a-1704e4b83188,11537.902381367448,BEŽIGRAD - VEVČE,VEVČE;  osnovna,8a0a71a5-3d3a-4923-bff8-d917d8301ac7,364
12,364,43ad32e4-ebf3-4e5f-b475-a782be9076f7,11243.64031442071,VEVČE - BEŽIGRAD,BEŽIGRAD;  osnovna,a5ea5391-a94d-4101-8f09-6eb49ab0826e,363
5,652,2080cd98-f0c1-4b48-b4a8-59ee716a7927,11620.687037991122,ŠTEPANJSKO NAS. - PODUTIK,PODUTIK;  osnovna,c24f6dfc-af45-4a89-abd8-c18bc8683f4c,346
2,717,0765930a-e0e5-4348-9d21-a75a75b39c64,12447.061477065816,NOVE JARŠE - ZELENA JAMA,ZELENA JAMA;  osnovna,39d131ff-a9c3-4532-9524-bc31812abc5b,737
